"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home","skills"
139674,"Senior Data Analyst- People Analytics","Pure Storage","Bengaluru, Karnataka, India","Full-time","111175.0","2023-09-01","","snowflake"
139674,"Senior Data Analyst- People Analytics","Pure Storage","Bengaluru, Karnataka, India","Full-time","111175.0","2023-09-01","","excel"
139674,"Senior Data Analyst- People Analytics","Pure Storage","Bengaluru, Karnataka, India","Full-time","111175.0","2023-09-01","","tableau"
139674,"Senior Data Analyst- People Analytics","Pure Storage","Bengaluru, Karnataka, India","Full-time","111175.0","2023-09-01","","power bi"
139674,"Senior Data Analyst- People Analytics","Pure Storage","Bengaluru, Karnataka, India","Full-time","111175.0","2023-09-01","","looker"
139674,"Senior Data Analyst- People Analytics","Pure Storage","Bengaluru, Karnataka, India","Full-time","111175.0","2023-09-01","","sheets"
895116,"Data Analyst 2","Publicis Groupe","Bengaluru, Karnataka, India","Full-time","111175.0","2023-03-29","","excel"
895116,"Data Analyst 2","Publicis Groupe","Bengaluru, Karnataka, India","Full-time","111175.0","2023-03-29","","power bi"
895116,"Data Analyst 2","Publicis Groupe","Bengaluru, Karnataka, India","Full-time","111175.0","2023-03-29","","word"
895116,"Data Analyst 2","Publicis Groupe","Bengaluru, Karnataka, India","Full-time","111175.0","2023-03-29","","powerpoint"
1025126,"Data Analyst","Truecaller","Bengaluru, Karnataka, India","Full-time","111175.0","2023-02-15","","sql"
1025126,"Data Analyst","Truecaller","Bengaluru, Karnataka, India","Full-time","111175.0","2023-02-15","","spark"
1025126,"Data Analyst","Truecaller","Bengaluru, Karnataka, India","Full-time","111175.0","2023-02-15","","tableau"
403216,"Sr. Data Analyst (Tableau Developer)","Elastic","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-10","","sql"
403216,"Sr. Data Analyst (Tableau Developer)","Elastic","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-10","","tableau"
1018545,"Technical Data Analyst (India)","Addepar","Pune, Maharashtra, India","Full-time","111175.0","2023-07-06","","python"
1122466,"Data Analyst","Spotify","Mumbai, Maharashtra, India","Full-time","111175.0","2023-06-20","","python"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","sql"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","python"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","r"
